what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1434944316315
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434944332125
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434944332621
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434944336583
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1434944346920
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434944348987
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434944349509
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434944350348
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434944350932
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1434944351353
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1434944351585
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1434944354225
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1434944355868
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434944359426
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944361486
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944502689
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1434944504880
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944518092
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944520689
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1434944522087
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1434944523694
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434944525437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434944538222
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944539570
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944618348
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1434944620958
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1434944621445
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434944626788
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944628031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944816590
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1434944820062
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1434944820264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944829661
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944842645
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1434944845800
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434944846458
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944847886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944898670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434944901518
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944902689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944932847
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1434944935195
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434944935736
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434944936793
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434945391809
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434945411096
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434945412020
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434945425708
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434945433465
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434945446494
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434945451162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434945452346
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434945455216
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434945520984
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434945525487
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1434945529915
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434945532166
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434945534927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434945537911
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434945697299
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015116957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015120470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015133649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1435015156379
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1435015158170
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015173520
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015220037
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015328866
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015358513
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1435015369177
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1435015372764
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015379401
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015383767
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015395119
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015412314
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015421196
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1435015429056
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1435015430325
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015441064
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015494659
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015513429
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1435015516639
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1435015518338
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015519393
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015521516
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015579928
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015604657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015605644
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015609636
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015617950
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015623113
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015643569
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015654826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015656587
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015662591
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015667151
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015672645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015674525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015710035
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1435015721535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015722873
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015737648
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1435015749904
